Text,Cleaned_Text,Sentiment_Main,Platform,Country,User,Cleaned_Hashtags,Likes,Retweets,Engagement_Score,Timestamp,Year,Month,Day,Hour
 Admiring the beauty of nature during a peaceful hike.   ,admiring the beauty of nature during a peaceful hike,Neutral,Twitter, USA       , NatureAdmirer   ,"['admiration', 'nature']",40.0,20.0,80.0,2023-02-15 11:30:00,2023,2,15,11
 Sending affectionate vibes to all my followers!          ,sending affectionate vibes to all my followers,Neutral,Instagram,USA, AffectionSender ,"['affection', 'positivevibes']",30.0,15.0,60.0,2023-02-15 16:00:00,2023,2,15,16
 Experiencing awe at the breathtaking sunset.            ,experiencing awe at the breathtaking sunset,Positive,Facebook, Australia   , AweStruck       ,"['awe', 'breathtaking']",45.0,22.0,89.0,2023-02-15 20:30:00,2023,2,15,20
 Disappointed with the service at a local restaurant.    ,disappointed with the service at a local restaurant,Negative,Twitter, India      , FoodieGoneWrong ,"['disappointed', 'badservice']",35.0,18.0,71.0,2023-02-16 09:00:00,2023,2,16,9
 A surprise gift from a friend made my day!              ,a surprise gift from a friend made my day,Neutral,Instagram, USA          , HappySurprise   ,"['surprise', 'gift']",50.0,25.0,100.0,2023-02-16 14:45:00,2023,2,16,14
 Finding acceptance in the midst of life's challenges.   ,finding acceptance in the midst of lifes challenges,Neutral,Facebook, Canada     , AcceptanceSeeker,"['acceptance', 'challenges']",30.0,15.0,60.0,2023-02-16 18:20:00,2023,2,16,18
 Overflowing with adoration for my adorable pet! 🐾      ,overflowing with adoration for my adorable pet 🐾,Positive,Twitter, UK        , PetAdorer       ,"['adoration', 'petlove']",45.0,22.0,89.0,2023-02-17 10:45:00,2023,2,17,10
 Anticipating a thrilling adventure in the coming weeks. ,anticipating a thrilling adventure in the coming weeks,Positive,Instagram,USA, AdventureAwaits  ,"['anticipation', 'adventure']",40.0,20.0,80.0,2023-02-17 07:30:00,2023,2,17,7
 A bitter experience turned into a valuable lesson.      ,a bitter experience turned into a valuable lesson,Negative,Facebook, USA       , LearnFromBitter ,"['bitterlesson', 'growth']",35.0,18.0,71.0,2023-02-17 15:00:00,2023,2,17,15
 Finding calmness in the midst of a busy day.            ,finding calmness in the midst of a busy day,Neutral,Twitter, India     , ZenMaster       ,"['calmness', 'peacefulmind']",30.0,15.0,60.0,2023-02-18 09:30:00,2023,2,18,9
 Confusion clouds my mind as I navigate through decisions.,confusion clouds my mind as i navigate through decisions,Neutral,Instagram, UK   , ConfusedMind    ,"['confusion', 'decisionmaking']",50.0,25.0,100.0,2023-02-18 14:20:00,2023,2,18,14
 Excitement building up for the upcoming vacation!       ,excitement building up for the upcoming vacation,Neutral,Facebook, Canada    , VacationDreamer ,"['excitement', 'travelplans']",45.0,22.0,89.0,2023-02-18 18:45:00,2023,2,18,18
 Kindness witnessed today restored my faith in humanity. ,kindness witnessed today restored my faith in humanity,Positive,Twitter, USA       , KindnessPrevails,"['kindness', 'humanity']",40.0,20.0,80.0,2023-02-19 11:30:00,2023,2,19,11
 Pride in achieving a personal milestone.               ,pride in achieving a personal milestone,Neutral,Instagram, Australia    , PersonalAchiever,"['pride', 'milestone']",60.0,30.0,120.0,2023-02-19 16:00:00,2023,2,19,16
 A moment of shame for not standing up against injustice. ,a moment of shame for not standing up against injustice,Neutral,Facebook, India      , ReflectiveSelf  ,"['shame', 'injustice']",30.0,15.0,60.0,2023-02-19 19:45:00,2023,2,19,19
 Fuming with anger after a heated argument.            ,fuming with anger after a heated argument,Neutral,Twitter, Canada     , AngryDebater    ,"['anger', 'argument']",40.0,20.0,80.0,2023-02-20 09:30:00,2023,2,20,9
 The fear of the unknown is keeping me up at night.    ,the fear of the unknown is keeping me up at night,Neutral,Instagram, USA          , FearfulDreamer  ,"['fear', 'unknown']",30.0,15.0,60.0,2023-02-20 21:15:00,2023,2,20,21
 Heartfelt sadness after bidding farewell to a dear friend. ,heartfelt sadness after bidding farewell to a dear friend,Negative,Facebook, India      , FarewellHeart   ,"['sadness', 'farewell']",50.0,25.0,100.0,2023-02-21 14:45:00,2023,2,21,14
 The state of corruption in our society is utterly disgusting. ,the state of corruption in our society is utterly disgusting,Neutral,Twitter, UK         , AntiCorruption  ,"['disgust', 'corruption']",35.0,18.0,71.0,2023-02-21 18:20:00,2023,2,21,18
 Overflowing happiness: welcoming a new family member!  ,overflowing happiness welcoming a new family member,Neutral,Instagram, UK           , NewParentJoy    ,"['happiness', 'newfamilymember']",60.0,30.0,120.0,2023-02-22 10:00:00,2023,2,22,10
 Laughter is the key to joy—attending a stand-up comedy show. ,laughter is the key to joy—attending a standup comedy show,Neutral,Facebook, Canada    , StandUpFan      ,"['joy', 'standupcomedy']",45.0,22.0,89.0,2023-02-22 19:30:00,2023,2,22,19
 Sending love to all my followers on this beautiful day! ❤️ ,sending love to all my followers on this beautiful day ❤️,Neutral,Twitter, Australia  , LoveSender      ,"['love', 'spreadlove']",30.0,15.0,60.0,2023-02-23 08:30:00,2023,2,23,8
 Amused by the antics of my pet—it's pure amusement!      ,amused by the antics of my pet—its pure amusement,Neutral,Instagram, UK           , PetAmuser       ,"['amusement', 'petantics']",35.0,18.0,71.0,2023-02-23 14:20:00,2023,2,23,14
 Enjoying every moment of this trip—pure enjoyment!      ,enjoying every moment of this trip—pure enjoyment,Positive,Facebook, USA , TravelExplorer  ,"['enjoyment', 'travel']",50.0,25.0,100.0,2023-02-23 19:45:00,2023,2,23,19
 Admiring the dedication of volunteers at a local charity. ,admiring the dedication of volunteers at a local charity,Neutral,Twitter, USA        , CharityAdmirer  ,"['admiration', 'volunteers']",40.0,20.0,80.0,2023-02-24 11:30:00,2023,2,24,11
 Sending affectionate vibes to friends and family.        ,sending affectionate vibes to friends and family,Neutral,Instagram,USA, FamilyLover     ,"['affection', 'familylove']",30.0,15.0,60.0,2023-02-24 16:00:00,2023,2,24,16
 Awe-struck by the beauty of the night sky.               ,awestruck by the beauty of the night sky,Positive,Facebook, Australia , Stargazer       ,"['awe', 'starrynight']",45.0,22.0,89.0,2023-02-24 20:30:00,2023,2,24,20
 Disappointed with the lack of progress in a personal project. ,disappointed with the lack of progress in a personal project,Negative,Twitter, India      , ProjectStruggle ,"['disappointed', 'project']",35.0,18.0,71.0,2023-02-25 09:00:00,2023,2,25,9
 A surprise visit from an old friend brought tears of joy. ,a surprise visit from an old friend brought tears of joy,Neutral,Instagram, USA          , JoyfulReunion   ,"['surprise', 'oldfriends']",50.0,25.0,100.0,2023-02-25 14:45:00,2023,2,25,14
 Embracing acceptance of life's ups and downs.           ,embracing acceptance of lifes ups and downs,Neutral,Facebook, Canada     , LifeAcceptance  ,"['acceptance', 'lifejourney']",30.0,15.0,60.0,2023-02-25 18:20:00,2023,2,25,18
 Overflowing adoration for a cute rescue puppy! 🐶       ,overflowing adoration for a cute rescue puppy 🐶,Positive,Twitter, UK         , PuppyAdmirer    ,"['adoration', 'puppylove']",45.0,22.0,89.0,2023-02-26 10:45:00,2023,2,26,10
 Anticipating the release of a much-awaited movie.       ,anticipating the release of a muchawaited movie,Positive,Instagram, Australia    , MovieBuff2      ,"['anticipation', 'movierelease']",40.0,20.0,80.0,2023-02-26 07:30:00,2023,2,26,7
 Bitter experience at the customer service department.   ,bitter experience at the customer service department,Negative,Facebook, USA       , CustomerWoes    ,"['bitterexperience', 'customerservice']",35.0,18.0,71.0,2023-02-26 15:00:00,2023,2,26,15
 Finding calmness amidst the chaos of daily life.        ,finding calmness amidst the chaos of daily life,Neutral,Twitter, India     , CalmSoul        ,"['calmness', 'innerpeace']",30.0,15.0,60.0,2023-02-27 09:30:00,2023,2,27,9
 Confusion reigns as I try to make sense of recent events.,confusion reigns as i try to make sense of recent events,Neutral,Instagram, UK   , ConfusedMind2   ,"['confusion', 'makingsense']",50.0,25.0,100.0,2023-02-27 14:20:00,2023,2,27,14
 Excitement building up for a surprise birthday party.   ,excitement building up for a surprise birthday party,Neutral,Facebook, Canada , BirthdayExcite  ,"['excitement', 'surpriseparty']",45.0,22.0,89.0,2023-02-27 18:45:00,2023,2,27,18
 Witnessed an act of kindness that made my day.          ,witnessed an act of kindness that made my day,Positive,Twitter, USA       , KindnessObserver,"['kindness', 'actsofkindness']",40.0,20.0,80.0,2023-02-28 11:30:00,2023,2,28,11
 Pride in completing a challenging fitness challenge.    ,pride in completing a challenging fitness challenge,Neutral,Instagram, UK            , FitAchiever     ,"['pride', 'fitnesschallengecompleted']",60.0,30.0,120.0,2023-02-28 16:00:00,2023,2,28,16
 A moment of shame for not speaking up against injustice.,a moment of shame for not speaking up against injustice,Neutral,Facebook, India     , ReflectiveSelf2 ,"['shame', 'injustice']",30.0,15.0,60.0,2023-02-28 19:45:00,2023,2,28,19
 Reflecting on the beauty of diversity in our world.     ,reflecting on the beauty of diversity in our world,Neutral,Twitter, Australia , DiversityLover  ,"['acceptance', 'diversity']",45.0,22.0,89.0,2023-03-01 10:45:00,2023,3,1,10
 Excitement for a quiet evening with a good book.        ,excitement for a quiet evening with a good book,Neutral,Instagram, USA          , BookwormJoy     ,"['excitement', 'booktime']",35.0,18.0,71.0,2023-03-01 13:30:00,2023,3,1,13
 Feeling bitter about the unfairness in the workplace.   ,feeling bitter about the unfairness in the workplace,Negative,Twitter, Canada    , WorkplaceWoes   ,"['bitter', 'unfairness']",30.0,15.0,60.0,2023-03-01 17:45:00,2023,3,1,17
 Calmness prevails as I practice mindfulness.            ,calmness prevails as i practice mindfulness,Neutral,Facebook, UK        , MindfulMe       ,"['calmness', 'mindfulness']",30.0,15.0,60.0,2023-03-02 18:00:00,2023,3,2,18
 Confusion surrounds me as I navigate through life's choices. ,confusion surrounds me as i navigate through lifes choices,Neutral,Instagram, USA   , ConfusedMind3   ,"['confusion', 'lifechoices']",60.0,30.0,120.0,2023-03-02 13:15:00,2023,3,2,13
 Excitement for a weekend road trip to explore new places. ,excitement for a weekend road trip to explore new places,Neutral,Twitter, India     , RoadTripper2    ,"['excitement', 'weekendadventure']",50.0,25.0,100.0,2023-03-02 16:45:00,2023,3,2,16
 Kindness witnessed today restores my faith in humanity.  ,kindness witnessed today restores my faith in humanity,Positive,Facebook, USA       , KindnessPrevails2,"['kindness', 'humanityrestored']",45.0,22.0,89.0,2023-03-03 11:30:00,2023,3,3,11
 Pride in accomplishing personal and professional goals.  ,pride in accomplishing personal and professional goals,Neutral,Instagram, Canada , GoalAchiever    ,"['pride', 'accomplishments']",25.0,12.0,49.0,2023-03-03 14:30:00,2023,3,3,14
 Shame for not being true to my values in a difficult situation.,shame for not being true to my values in a difficult situation,Neutral,Twitter, UK        , ReflectiveSelf3 ,"['shame', 'integrity']",30.0,15.0,60.0,2023-03-03 12:00:00,2023,3,3,12
" Revisiting old memories, feeling a sense of elation. ",revisiting old memories feeling a sense of elation,Positive,Twitter, Canada    , NostalgiaFan    ,"['elation', 'memories']",40.0,20.0,80.0,2010-05-15 15:30:00,2010,5,15,15
 The victory of our team brought euphoria to the city. ,the victory of our team brought euphoria to the city,Neutral,Instagram, USA      , SportsFanatic   ,"['euphoria', 'victory']",30.0,15.0,60.0,2021-08-10 21:15:00,2021,8,10,21
" Embracing the beauty of nature, a moment of contentment. ",embracing the beauty of nature a moment of contentment,Neutral,Facebook, India       , NatureLover2    ,"['contentment', 'nature']",50.0,25.0,100.0,2011-06-20 14:45:00,2011,6,20,14
" Meditating by the serene lake, finding inner peace.   ",meditating by the serene lake finding inner peace,Neutral,Twitter, UK          , ZenMaster2      ,"['serenity', 'meditation']",35.0,18.0,71.0,2022-02-12 18:20:00,2022,2,12,18
 Overflowing with gratitude for life's blessings.      ,overflowing with gratitude for lifes blessings,Neutral,Instagram, Australia   , ThankfulHeart   ,"['gratitude', 'blessed']",60.0,30.0,120.0,2012-11-25 10:00:00,2012,11,25,10
" Hopeful for a brighter tomorrow, despite challenges.  ",hopeful for a brighter tomorrow despite challenges,Neutral,Facebook, USA      , OptimisticSoul  ,"['hope', 'optimism']",45.0,22.0,89.0,2013-04-05 19:30:00,2013,4,5,19
 Empowered to make a difference in my community.        ,empowered to make a difference in my community,Neutral,Twitter, UK       , CommunityLeader ,"['empowerment', 'community']",30.0,15.0,60.0,2014-09-14 08:30:00,2014,9,14,8
 Compassion in action: supporting a local charity event. ,compassion in action supporting a local charity event,Positive,Instagram, Canada , CharitySupporter,"['compassion', 'charityevent']",35.0,18.0,71.0,2015-07-18 14:20:00,2015,7,18,14
" A moment of tenderness, connecting with loved ones.    ",a moment of tenderness connecting with loved ones,Positive,Facebook, UK          , LovingHeart     ,"['tenderness', 'familytime']",50.0,25.0,100.0,2016-02-23 19:45:00,2016,2,23,19
 Arousal of excitement as I await a special announcement.,arousal of excitement as i await a special announcement,Positive,Twitter, Australia , ExcitementFan   ,"['arousal', 'excitement']",40.0,20.0,80.0,2017-10-30 11:30:00,2017,10,30,11
 Enthusiastically diving into a new project.            ,enthusiastically diving into a new project,Neutral,Instagram, USA  , ProjectEnthusiast,"['enthusiasm', 'newproject']",30.0,15.0,60.0,2018-06-15 16:00:00,2018,6,15,16
 Feeling a sense of fulfillment after reaching a milestone.,feeling a sense of fulfillment after reaching a milestone,Neutral,Facebook, India     , MilestoneAchiever,"['fulfillment', 'milestone']",45.0,22.0,89.0,2019-03-28 18:20:00,2019,3,28,18
 Reverence for the beauty of a historic landmark.       ,reverence for the beauty of a historic landmark,Positive,Twitter, UK      , HistoryLover    ,"['reverence', 'history']",35.0,18.0,71.0,2019-11-11 15:00:00,2019,11,11,15
 Elation after a surprise reunion with old friends.    ,elation after a surprise reunion with old friends,Positive,Instagram, Canada      , JoyfulReunion2  ,"['elation', 'oldfriends']",50.0,25.0,100.0,2020-04-02 09:30:00,2020,4,2,9
 The euphoria of a live music concert under the stars.  ,the euphoria of a live music concert under the stars,Neutral,Facebook, USA , MusicEnthusiast ,"['euphoria', 'livemusic']",30.0,15.0,60.0,2021-06-19 14:45:00,2021,6,19,14
 Contentment in the simplicity of a quiet Sunday.       ,contentment in the simplicity of a quiet sunday,Neutral,Twitter, Australia , SimpleJoys      ,"['contentment', 'sundaymood']",60.0,30.0,120.0,2010-08-15 10:00:00,2010,8,15,10
 Serenity found in the pages of a favorite book.        ,serenity found in the pages of a favorite book,Neutral,Instagram, UK          , BookLover3      ,"['serenity', 'booktime']",45.0,22.0,89.0,2011-09-22 19:30:00,2011,9,22,19
 Gratitude for the support received during tough times. ,gratitude for the support received during tough times,Neutral,Facebook, India     , SupportiveFriend,"['gratitude', 'supportive']",30.0,15.0,60.0,2012-03-10 08:30:00,2012,3,10,8
 Hopeful about the possibilities of a new journey.      ,hopeful about the possibilities of a new journey,Neutral,Twitter, Canada    , JourneyOptimist ,"['hope', 'newbeginnings']",35.0,18.0,71.0,2013-12-05 16:00:00,2013,12,5,16
 Empowerment through learning and personal growth.      ,empowerment through learning and personal growth,Neutral,Instagram,USA, GrowthSeeker    ,"['empowerment', 'personalgrowth']",50.0,25.0,100.0,2014-07-20 11:30:00,2014,7,20,11
 Compassion towards those in need during the holidays.  ,compassion towards those in need during the holidays,Positive,Facebook, USA      , HolidayHelper   ,"['compassion', 'holidaysupport']",35.0,18.0,71.0,2015-12-22 14:20:00,2015,12,22,14
